phenomenon,UID,count,acc_small,acc_large,delta
quantifiers,superlative_quantifiers_1,300,0.08,0.29333333333333333,0.21333333333333332
anaphor,anaphor_gender_agreement,300,0.7233333333333334,0.7966666666666666,0.07333333333333325
quantifiers,superlative_quantifiers_2,300,0.7133333333333334,0.76,0.046666666666666634
ellipsis,ellipsis_n_bar_class,300,0.85,0.8766666666666667,0.026666666666666727
ellipsis,ellipsis_double_object,300,0.0,0.0,0.0
ellipsis,ellipsis_adj,300,0.6666666666666666,0.6433333333333333,-0.023333333333333317
anaphor,anaphor_number_agreement,300,0.78,0.6866666666666666,-0.09333333333333338
